Humidity,Temperature,Altitude,Latitude,Longitude,Luminosity,Timestamp,Date
60,22,150,4000,6000,300,373030912,1981-10-27 12:41:52
150,0,4000,393216000,19660800,1375,9836092,1970-04-24 22:14:52
160,15,0,6000,156631340,0,262144150,1978-04-23 03:49:10
0,0,6000,19660800,3438,5692,4000,1970-01-01 02:06:40
112,23,0,291701036,373030912,150,393216000,1982-06-18 04:40:00
0,0,300,5463,9836092,4000,6000,1970-01-01 02:40:00
44,1,6474,373030912,262144150,0,19660800,1970-08-16 15:20:00
7,0,0,9836092,4000,6000,66715948,1972-02-12 05:12:28
0,0,5692,262144150,393216000,0,2029,1970-01-01 01:33:49
60,22,150,4000,6000,300,373030912,1981-10-27 12:41:52
150,0,4000,393216000,19660800,4052,9836092,1970-04-24 22:14:52
160,15,0,6000,331874604,0,262144150,1978-04-23 03:49:10
0,0,6000,19660800,6076,5692,4000,1970-01-01 02:06:40
112,23,0,464519468,373030912,150,393216000,1982-06-18 04:40:00
0,0,300,8099,9836092,4000,6000,1970-01-01 02:40:00
44,1,9111,373030912,262144150,0,19660800,1970-08-16 15:20:00
138,39,0,9836092,4000,6000,729612588,1993-02-13 15:09:48
0,0,5692,262144150,393216000,0,12145,1970-01-01 04:22:25
60,22,150,4000,6000,300,373030912,1981-10-27 12:41:52
150,0,4000,393216000,19660800,14169,9836092,1970-04-24 22:14:52
160,15,0,6000,994836780,0,262144150,1978-04-23 03:49:10
0,0,6000,19660800,16192,5692,4000,1970-01-01 02:06:40
